,aid,sid,pred,ga_surface_r,ni_surface_r,wo_surface_r,ga_type_r,ni_type_r,wo_type_r,keyaki_sbj,keyaki_ob1,keyaki_ob2,takeno1_sbj,takeno1_ob1,takeno1_ob2,takeno2_sbj,takeno2_ob1,takeno2_ob2,ga_surface_s,wo_surface_s,ni_surface_s,ga_type_s,wo_type_s,ni_type_s
417,950101021,8,増え,婚姻,,,INTRA_Z,NONE,NONE,*PRO*,,,,,,婚姻,,,婚姻,,,DIRECT,,
418,950101021,8,七十九万四千組,婚姻,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
419,950101021,8,多かっ,婚姻,,,INTRA_Z,NONE,NONE,婚姻,,,婚姻,,,*pro*,,,,,,,,
420,950101021,9,流行し,インフルエンザ,,,INTRA_Z,NONE,NONE,*PRO*,,年,*PRO*,,年,*PRO*,,年,,,,,,
421,950101021,9,なっ,インフルエンザ,,,INTRA_Z,NONE,NONE,*T*,,引き金,*T*,,引き金,*T*,,引き金,,,引き金,,,DIRECT
422,950101021,9,発生し,インフルエンザ,,,DIRECT,NONE,NONE,インフルエンザ,,,昨年,,,昨年,,,インフルエンザ,,,DIRECT,,
423,950101021,9,ため,減少,,,DIRECT,NONE,NONE,,,,,,,,,,,,,,,
424,950101021,9,み,exog,,,INTER_Z,NONE,NONE,,,,,,,減少,高齢者,ため,,,,,,
425,950101021,10,結婚し,独身女性層,,,INTRA_Z,NONE,NONE,独身女性層,,,独身女性層,,,独身女性層,,,層,,,DIRECT,,
426,950101021,10,結び付いた,独身女性層,出産,,INTRA_Z,DIRECT,NONE,,,,,,,,,,,,,,,
427,950101021,10,思わ,厚生省,,,INTRA_Z,NONE,NONE,,,,,*pro*,,*pro*,,,厚生省,,,INTRA_Z,,
428,950101021,10,続け,結婚,これ,,INTRA_Z,INTRA_Z,NONE,結婚,,,結婚,,,結婚,,,結婚,,これ,DIRECT,,DIRECT
429,950101021,10,ストップする,少子化傾向,,,INTRA_Z,NONE,NONE,少子化傾向,,,少子化傾向,,,少子化傾向,,,傾向,,,DIRECT,,
430,950101021,10,ある,可能性,,,DIRECT,NONE,NONE,可能性,,,,,,,,,厚生省,,,INTRA_Z,,
431,950101021,10,分析し,厚生省,,,INTRA_Z,NONE,NONE,厚生省,,,厚生省,,,厚生省,,,厚生省,,,DIRECT,,
432,950101021,11,上回り,離婚,,前年,DIRECT,NONE,INTRA_Z,*PRO*,前年,年連続,*PRO*,前年,年連続,*PRO*,前年,年連続,厚生省,,,INTER_Z,,
433,950101021,11,十九万五千組,離婚,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
434,950101021,12,続く,第二次離婚ブーム,八〇年代前半,,INTRA_Z,INTRA_Z,NONE,*T*,,年代前半,*T*,,年代前半,*PRO*,,年代前半,,,,,,
435,950101021,12,強まっ,様相,,,INTRA_Z,NONE,NONE,様相,,,様相,,,様相,,,様相,,,DIRECT,,
436,950101022,1,向け,江沢民国家主席,華僑,演説,INTRA_Z,INTRA_Z,INTRA_Z,*PRO*,,華人,*PRO*,,華人,*PRO*,,華人,,,,,,
437,950101022,1,勝利五十周年,一九九五年,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
438,950101022,1,抵抗し,中国,侵略,,INTRA_Z,DIRECT,NONE,*T*,,侵略,*T*,,侵略,*T*,,侵略,戦い,,侵略,INTRA_Z,,DIRECT
439,950101022,1,含ま,exog,その中,戦い,INTER_Z,INTRA_Z,DIRECT,,戦い,,,中,,中,,,,,,,,
440,950101022,1,強調し,江沢民国家主席,,,DIRECT,NONE,NONE,江沢民国家主席,,,江沢民国家主席,,,江沢民国家主席,,,主席,,,DIRECT,,
441,950101024,1,座っているの,だれか,座,,INTRA_Z,INTRA_Z,NONE,,,,,,,,,,,,,,,
442,950101024,1,だれ,座っ,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
443,950101024,2,答え,国会議員,質問,,INTRA_Z,INTRA_Z,NONE,*T*,,,*T*,,,*T*,,村山富市氏,,,,,,
444,950101024,2,い,国会議員,,,INTRA_Z,NONE,NONE,国会議員,,,国会議員,,,国会議員,,,議員,,,DIRECT,,
445,950101024,3,時代,exog,,,INTER_Z,NONE,NONE,,,,,,,,,,政界,,,DIRECT,,
446,950101024,4,実施し,毎日新聞社,,全衆院議員,INTRA_Z,NONE,INTRA_Z,*pro*,*T*,,*T*,,,*T*,,,毎日新聞社,,,INTRA_Z,,
447,950101024,4,だれか,首相,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
448,950101024,4,聞い,毎日新聞社,全衆院議員アンケート,だれ,INTRA_Z,INTRA_Z,INTRA_Z,毎日新聞社,*,衆院議員アンケート,毎日新聞社,首相,衆院議員アンケート,毎日新聞社,首相,月,毎日新聞社,,,DIRECT,,
449,950101024,5,挙げ,議員,,村山富市氏,INTRA_Z,NONE,INTRA_Z,*T*,村山富市氏,,*T*,村山富市氏,,*T*,村山富市氏,,結果,,,INTRA_Z,,
450,950101024,5,二八％,議員,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
451,950101024,6,抑え,村山富市氏,,二三％,INTER_Z,NONE,INTRA_Z,*PRO*,％,,*PRO*,％,,*PRO*,,,毎日新聞社,,,INTER_Z,,
452,950101024,6,立っ,村山富市氏,トップ,,INTER_Z,INTRA_Z,NONE,*pro*,,トップ,*pro*,,トップ,*pro*,％,トップ,,,トップ,,,DIRECT
453,950101024,7,込め,与野党,結果,願望,DIRECT,INTER_Z,DIRECT,,願望,,,願望,,*pro*,,,,,,,,
454,950101024,7,当たる,予想,,,DIRECT,NONE,NONE,予想,,,予想,,,予想,,,,,,,,
455,950101024,7,登場し,人物,,,INTRA_Z,NONE,NONE,人物,,,人物,,,人物,,,,,,,,
456,950101024,8,集計する,毎日新聞社,,アンケート結果,INTER_Z,NONE,DIRECT,*pro*,アンケート結果,,*pro*,アンケート結果,,*pro*,アンケート結果,,,,,,,
457,950101024,8,担っ,村山氏,,政権,INTRA_Z,NONE,INTRA_Z,村山氏,政権,,村山氏,政権,,村山氏,政権,*pro*アンケート結果,氏,,,DIRECT,,
458,950101024,8,予測したの,四九％,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
459,950101024,8,四九％,予測し,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
460,950101024,8,占め,予測し,,半数近く,INTRA_Z,NONE,INTRA_Z,の,近く,*を*,の,近く,*pro*アンケート結果,党,半数近く,,の,,,DIRECT,,
461,950101024,9,社会,予測し,,,INTER_Z,NONE,NONE,,,,,,,,,,,,,,,
462,950101024,9,さきがけ,予測し,,,INTER_Z,NONE,NONE,,,,,,,,,,,,,,,
463,950101024,9,自民,予測し,,,INTER_Z,NONE,NONE,,,,,,,,,,,,,,,
464,950101024,10,ない,首相,,,INTER_Z,NONE,NONE,理由,,,理由,,,理由,,,理由,,,DIRECT,,
465,950101024,10,あり,など,,,INTRA_Z,NONE,NONE,村山首相以外,,,村山首相以外,,,*pro*,,,,,,,,
466,950101024,10,ない,欲,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
467,950101024,10,良い,彼,,,DIRECT,NONE,NONE,,,,,,,,,,彼,,,DIRECT,,
468,950101024,10,代わる,村山首相,,,INTRA_Z,NONE,NONE,,,,*pro*,,,*pro*,,,,,,,,
469,950101024,10,ない,理由,,,DIRECT,NONE,NONE,,,,,,,,,,,,,,,
470,950101024,10,挙がっ,など,,,INTRA_Z,NONE,NONE,*が*,,,理由,,,理由,,,,,,,,
471,950101024,11,一％,村山氏,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
472,950101024,12,しがみつく,権力者,権力,,INTRA_Z,DIRECT,NONE,*T*,,権力,*T*,,権力,権力者,,権力,者,,権力,INTRA_Z,,DIRECT
473,950101024,12,もの,権力者,,,DIRECT,NONE,NONE,,,,,,,,,,,,,,,
474,950101024,12,厳しい,理由,,,INTRA_Z,NONE,NONE,,,,,,,,,,者,,,INTRA_Z,,
475,950101024,12,理由,いう,,,DIRECT,NONE,NONE,,,,,,,,,,,,,,,
476,950101024,13,次い,海部氏,村山氏,,INTRA_Z,INTRA_Z,NONE,*PRO*,,村山氏,*PRO*,,村山氏,*PRO*,,村山氏,,,,,,
477,950101024,13,多かっ,海部氏,,,INTRA_Z,NONE,NONE,*T*,,,*T*,,,*T*,,,氏,,,INTRA_Z,,
478,950101024,13,高い,新進党,,,INTRA_Z,NONE,NONE,海部氏,,,政党別,,,海部氏,,％,新進党,,,DIRECT,,
479,950101024,14,求め,新進党,,早期,INTRA_Z,NONE,INTRA_Z,新進党,総選挙,,新進党,総選挙,,新進党,早期解散・総選挙,,新進党,,,DIRECT,,
480,950101024,14,込め,新進党,,願望,INTRA_Z,NONE,DIRECT,,願望,,,願望,,願望,,,,,,,,
481,950101024,15,割れている,「支持」率,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
482,950101024,16,挙げ,議員,,羽田孜氏,INTRA_Z,NONE,INTRA_Z,*T*,羽田孜氏,,*T*,羽田孜氏,,*T*,羽田孜氏,,,,,,,
483,950101024,16,いたこと,議員,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
484,950101024,16,大き,要因,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
485,950101024,16,要因,い,,,INTRA_Z,NONE,NONE,,,,,,,,,,こと,,,DIRECT,,
486,950101024,17,挙げたの,議員,,羽田氏,INTER_Z,NONE,INTRA_Z,,,,,,,,,,,,,,,
487,950101024,17,旧民社二〇％,挙げ,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
488,950101024,17,旧新生一六％,挙げ,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
489,950101024,17,旧日本新八％,挙げ,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
490,950101024,17,計一〇％,挙げ,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
491,950101024,18,残っ,しこり,,,INTRA_Z,NONE,NONE,しこり,,,しこり,,,しこり,,,しこり,,,DIRECT,,
492,950101024,18,なる,羽田氏,,,INTRA_Z,NONE,NONE,羽田氏人気,,波乱要因,羽田氏人気,,波乱要因,羽田氏人気,,波乱要因,,,,,,
493,950101024,19,集め,羽田氏,,四％,INTRA_Z,NONE,INTRA_Z,*PRO*,％,,,％,,,％,,氏,,,INTRA_Z,,
494,950101024,19,食い込ん,羽田氏,第三位,,INTRA_Z,INTRA_Z,NONE,羽田氏,,位,羽田氏,,位,羽田氏,,位,氏,,位,DIRECT,,DIRECT
495,950101024,20,最大政党,自民党,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
496,950101024,20,とどまり,河野洋平氏,三％,,INTRA_Z,INTRA_Z,NONE,*PRO*,,％,*PRO*,,％,河野洋平氏,,％,氏,,％,DIRECT,,DIRECT
497,950101024,20,低率,河野洋平氏,,,INTRA_Z,NONE,NONE,,,,,,,,,,自民,,,DIRECT,,
498,950101024,21,総裁,河野洋平氏,,,INTER_Z,NONE,NONE,,,,,,,,,,,,,,,
499,950101024,21,就くの,河野洋平氏,座,,INTER_Z,INTRA_Z,NONE,,,,,,,,,,,,,,,
500,950101024,21,難しい,就く,,,DIRECT,NONE,NONE,の,,,の,,,の,,,党,,,INTRA_Z,,
501,950101024,21,支配的,見方,,,INTRA_Z,NONE,NONE,見方,,,見方,,,見方,,,,,,,,
502,950101024,22,挙がっ,十二人,,,INTRA_Z,NONE,NONE,人,,,人,,,人,,,人,,,DIRECT,,
503,950101024,23,わから,だれ,,,INTER_Z,NONE,NONE,*pro*,,,,,,*PRO*,,,,,,,,
504,950101024,23,上り,無回答,三六％,,DIRECT,INTRA_Z,NONE,無回答,,一方,無回答,,一方,無回答,,一方,回答,,％,DIRECT,,DIRECT
505,950101024,23,代わる,首相,,,DIRECT,NONE,NONE,首相,,年間,首相,,年間,首相,*T*,,首相,,年間,DIRECT,,DIRECT
506,950101024,23,不可能,予測,,,INTRA_Z,NONE,NONE,,,,,,,,,,議員,,,INTRA_Z,,
507,950101024,23,抱い,議員,,思い,INTRA_Z,NONE,INTRA_Z,議員,思い,,議員,思い,,議員,思い,,議員,,,DIRECT,,
508,950101024,23,示し,上り,,こと,DIRECT,NONE,DIRECT,*pro*,こと,,*pro*,こと,,*pro*,こと,年間,,,,,,
509,950101024,24,持つ,議員,首脳、幹部名,好感,INTER_Z,INTRA_Z,DIRECT,*pro*,好感,*T*,*T*,好感,,*PRO*,好感,,名,,,INTRA_Z,,
510,950101024,24,挙げ,議員,,首脳、幹部名,INTER_Z,NONE,INTRA_Z,*PRO*,幹部名,,*PRO*,,,アンケート,,,名,,,DIRECT,,
511,950101024,25,挙げ,六五％,,羽田氏,INTRA_Z,NONE,INTRA_Z,％,*pro*,,％,,,％,,,氏,,,INTRA_Z,,
512,950101024,25,上回る,羽田氏,,四〇％,INTRA_Z,NONE,INTRA_Z,羽田氏,％,,羽田氏,％,,*T*,,,氏,,,INTRA_Z,,
513,950101024,25,人気ぶり,羽田氏,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
514,950101024,26,高い,好感度,,,INTRA_Z,NONE,NONE,小沢氏,,,好感度,,,好感度,,,氏,,,INTRA_Z,,
515,950101024,26,低い,好感度,,,DIRECT,NONE,NONE,*pro*,,,好感度,,,好感度,,極端,氏,,,INTRA_Z,,
516,950101024,26,際立っ,傾向,,,INTRA_Z,NONE,NONE,*T*,,,*T*,,,*pro*,,,氏,,,INTRA_Z,,
517,950101024,26,出,傾向,,,INTRA_Z,NONE,NONE,傾向,,,傾向,,,傾向,,,傾向,,,DIRECT,,
518,950101031,1,握る,共和党,,主導権,DIRECT,NONE,DIRECT,共和党,主導権,,共和党,主導権,,共和党,主導権,,共和党,,,DIRECT,,
519,950101031,1,スタートする,新議会,,,INTRA_Z,NONE,NONE,新議会,,米国,新議会,,米国,新議会,,米国,議会,,,DIRECT,,
520,950101031,1,主張する,議会,,対,INTRA_Z,NONE,DIRECT,*T*,措置,,*T*,措置,,*T*,対ロシア強硬措置,,,,,,,
521,950101031,1,かけるの,議会,クリントン,攻勢,INTRA_Z,INTRA_Z,INTRA_Z,,,,,,,,,,,,,,,
522,950101031,1,必至,かける,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
523,950101031,1,情勢,議会,,,INTRA_Z,NONE,NONE,,,,,,,,,,の,,,DIRECT,,
524,950101031,2,シフトし,クリントン大統領,政策,,INTRA_Z,INTRA_Z,NONE,*T*,,政策,*T*,,政策,*T*,,政策,,,政策,,,DIRECT
525,950101031,2,譲歩する,クリントン大統領,同党,,DIRECT,INTRA_Z,NONE,クリントン大統領,*pro*,同党,クリントン大統領,,同党,*PRO*,,同党,大統領,,党,DIRECT,,DIRECT
526,950101031,2,み,exog,,,INTER_Z,NONE,NONE,,,,,,,,,*PRO*同党,,,,,,
527,950101031,2,深まる,対立,,,INTRA_Z,NONE,NONE,対立,,,対立,,,対立,,,対立,,,DIRECT,,
528,950101031,2,懸念さ,exog,,こと,INTER_Z,NONE,DIRECT,,こと,,,こと,,こと,,米国,,,,,,
529,950101031,3,先鋭化し,拡大問題,,,INTRA_Z,NONE,NONE,*T*,,,*T*,,,*T*,,,,,,,,
530,950101031,3,拡大問題,焦点,,,DIRECT,NONE,NONE,,,,,,,,,,,,,,,
531,950101031,3,展開,論客,,論争,DIRECT,NONE,DIRECT,論客,論争,米紙,論客,論争,米紙,論客,論争,米紙,論客,,,DIRECT,,
532,950101031,4,要求し,有力者たち,クリントン,対,INTRA_Z,INTRA_Z,INTRA_Z,*PRO*,措置,クリントン政権,*PRO*,措置,クリントン政権,*PRO*,対露強硬措置,クリントン政権,たち,,政権,INTRA_Z,,DIRECT
533,950101031,4,し,有力者たち,明らか,こと,INTRA_Z,INTRA_Z,DIRECT,有力者たち,こと,,有力者たち,こと,,有力者たち,こと,,,,,,,
534,950101031,5,拡大せよ,exog,,ＮＡＴＯ,INTER_Z,NONE,DIRECT,,,,,,,,,,長官,,,INTRA_Z,,
535,950101031,5,題する,キッシンジャー元国務長官,,論文,INTRA_Z,NONE,INTRA_Z,*T*,*pro*,,*T*,,,*PRO*,,米紙ワシントン・ポスト,,,,,,
536,950101031,5,発表,キッシンジャー元国務長官,米,論文,INTRA_Z,DIRECT,DIRECT,キッシンジャー元国務長官,論文,米紙ワシントン・ポスト,キッシンジャー元国務長官,論文,米紙ワシントン・ポスト,,,,長官,,ワシントン・ポスト,DIRECT,,DIRECT
537,950101031,6,加入さ,東欧四カ国,ＮＡＴＯ,,INTRA_Z,DIRECT,NONE,*PRO*,,,*PRO*,,,*PRO*,カ国,,ＮＡＴＯ,,,DIRECT,,
538,950101031,6,生まれ,真空地帯,間,,INTRA_Z,DIRECT,NONE,真空地帯,,間,真空地帯,,間,真空地帯,,間,地帯,,間,DIRECT,,DIRECT
539,950101031,6,埋めよ,両国,,真空地帯,INTRA_Z,NONE,INTRA_Z,,,,,,,,,,,,,,,
540,950101031,6,深刻化する,対立,,,INTRA_Z,NONE,NONE,対立,,,対立,,,対立,,,,,,,,
541,950101031,6,指摘,キッシンジャー元国務長官,,,INTER_Z,NONE,NONE,*pro*,,,,,,,,,,,,,,
542,950101031,7,加入さ,四カ国,ＮＡＴＯ,,INTRA_Z,INTRA_Z,NONE,*PRO*,,,*PRO*,,,*PRO*,,,ＮＡＴＯ,,,INTRA_Z,,
543,950101031,7,結び,四カ国,,条約,INTRA_Z,NONE,DIRECT,*PRO*,条約,ロシア,*PRO*,条約,ロシア,*PRO*,条約,同時,ＮＡＴＯ,,,INTRA_Z,,
544,950101031,7,駐留さ,外国軍,新加入国,,DIRECT,INTRA_Z,NONE,*PRO*,,,*PRO*,,,*PRO*,外国軍,新加入国,ＮＡＴＯ,,国,INTRA_Z,,DIRECT
545,950101031,7,し,ＮＡＴＯ,明確,こと,DIRECT,INTRA_Z,INTRA_Z,,,,,,,*PRO*,,,,,,,,
546,950101031,7,和らげ,ＮＡＴＯ,,警戒心,INTRA_Z,NONE,INTRA_Z,,,,,,,,,,,,,,,
547,950101031,7,主張した,キッシンジャー元国務長官,,,INTER_Z,NONE,NONE,,,,,,,,,,,,,,,
548,950101031,8,対し,ブラウン上級研究員,これ,,INTRA_Z,DIRECT,NONE,,,,,,,,,,,,,,,
549,950101031,8,招き,拡大,,反発,DIRECT,NONE,DIRECT,拡大,反発,,*PRO*,反発,,拡大,反発,,拡大,,,DIRECT,,
550,950101031,8,脱退する,ロシア,,,DIRECT,NONE,NONE,ロシア,,,ロシア,,,ロシア,,,ロシア,,,DIRECT,,
551,950101031,8,指摘,ブラウン上級研究員,,可能性,DIRECT,NONE,DIRECT,ブラウン上級研究員,可能性,,ブラウン上級研究員,可能性,,,,,員,,,DIRECT,,
552,950101031,9,加わる,四カ国,ＮＡＴＯ,,INTRA_Z,INTRA_Z,NONE,*T*,,ＮＡＴＯ,*T*,,ＮＡＴＯ,*PRO*,,ＮＡＴＯ,,,ＮＡＴＯ,,,DIRECT
553,950101031,9,加わら,東欧諸国,ＮＡＴＯ,,INTRA_Z,INTRA_Z,NONE,*T*,,,*T*,,,*T*,,カ国,ＮＡＴＯ,,,INTRA_Z,,
554,950101031,9,新た,カーテン,,,INTRA_Z,NONE,NONE,,,,,,,,,,ＮＡＴＯ,,,INTER_Z,,
555,950101031,9,下りる,カーテン,間,,DIRECT,DIRECT,NONE,カーテン,,間,カーテン,,間,カーテン,,間,カーテン,,間,DIRECT,,DIRECT
556,950101031,9,警告し,ブラウン上級研究員,,,INTER_Z,NONE,NONE,*PRO*,,,*PRO*,,,*PRO*,,,,,,,,
557,950101031,9,戦略的,合理性,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
558,950101031,9,政治的,合理性,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
559,950101031,9,なく,合理性,ＮＡＴＯ,,DIRECT,DIRECT,NONE,合理性,,ＮＡＴＯ拡大,合理性,,ＮＡＴＯ拡大,合理性,,ＮＡＴＯ拡大,,,,,,
560,950101031,9,取り,ロシア,近隣諸国,侵略的態度,INTRA_Z,INTRA_Z,INTRA_Z,ロシア,態度,近隣諸国,ロシア,態度,近隣諸国,*PRO*,侵略的態度,近隣諸国,ロシア,,諸国,DIRECT,,DIRECT
561,950101031,9,拡大する,ＮＡＴＯ拡大,,,INTRA_Z,NONE,NONE,*pro*,,,*pro*,,,*PRO*,,場合,,,場合,,,DIRECT
562,950101031,9,警告する,ＮＡＴＯ拡大,,,INTRA_Z,NONE,NONE,*PRO*,,場合,*PRO*,,場合,ロシア,,場合,,,,,,
563,950101031,9,十分,米,,,INTER_Z,NONE,NONE,*pro*,,*pro*,*pro*,,*pro*,*pro*,,場合,ＮＡＴＯ,,,INTER_Z,,
564,950101031,9,反論し,ブラウン上級研究員,,,INTER_Z,NONE,NONE,*pro*,,,*pro*,,,*pro*,,,,,,,,
565,950101031,10,作成し,ギングリッチ新下院議長,,選挙公約,INTRA_Z,NONE,INTRA_Z,ギングリッチ新下院議長,*T*,,ギングリッチ新下院議長,*T*,,ギングリッチ新下院議長,*T*,,議長,,,DIRECT,,
566,950101031,10,もつ,国々,,軍,INTRA_Z,NONE,DIRECT,*T*,軍,,*T*,軍,,*T*,軍,,,,,,,
567,950101031,10,加入する,国々,ＮＡＴＯ,,DIRECT,DIRECT,NONE,国々,,ＮＡＴＯ,国々,,ＮＡＴＯ,*PRO*,,ＮＡＴＯ,国々,,ＮＡＴＯ,DIRECT,,DIRECT
568,950101031,10,促進する,米国,,こと,INTRA_Z,NONE,INTRA_Z,*pro*,こと,,*pro*,こと,,国々,こと,,共和党,,,INTRA_Z,,
569,950101031,10,うたい,選挙公約,,,INTRA_Z,NONE,NONE,*PRO*,,中,*PRO*,,中,*PRO*,,中,共和党,,,INTRA_Z,,
570,950101031,10,進めること,米国,,ＮＡＴＯ,INTRA_Z,NONE,INTRA_Z,,,,,,,,,,,,,,,
571,950101031,10,し,共和党,明らか,進める,INTRA_Z,INTRA_Z,INTRA_Z,共和党,こと,,共和党,こと,,共和党,こと,,,,,,,
572,950101031,11,き,,,,NONE,NONE,NONE,*PRO*,,,*PRO*,,,*PRO*,,,党,,ここ,INTRA_Z,,DIRECT
573,950101031,11,持つの,ロシア,,拒否権,INTRA_Z,NONE,INTRA_Z,,,,,,,,,,,,,,,
574,950101031,11,許せ,持つ,,,DIRECT,NONE,NONE,*pro*,の,,の,,,の,,,の,,,DIRECT,,
575,950101031,11,勝利者,米国,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
576,950101031,11,行動す,米国,,,INTRA_Z,NONE,NONE,米国,,,米国,,,米国,,,党,,,INTRA_Z,,
577,950101031,11,し,同党,鮮明,強硬姿勢,INTRA_Z,INTRA_Z,DIRECT,,,,,,,,,,,,,,,
578,950101031,12,反対する,リベラル派,ＮＡＴＯ,,INTRA_Z,DIRECT,NONE,*T*,,ＮＡＴＯ拡大政策,*T*,,ＮＡＴＯ拡大政策,*T*,,ＮＡＴＯ拡大政策,,,政策,,,DIRECT
579,950101031,12,対処し,クリントン,共和党,,DIRECT,DIRECT,NONE,*pro*,,共和党,*pro*,,共和党,*PRO*,,共和党,政権,,共和党,INTRA_Z,,DIRECT
580,950101031,12,修正せ,クリントン,,エリツィン政権懐柔路線,INTRA_Z,NONE,DIRECT,*pro*,エリツィン政権懐柔路線,,*pro*,エリツィン政権懐柔路線,,,,,,,,,,
581,950101031,12,み,exog,,,INTER_Z,NONE,NONE,,,,,*pro*,,クリントン政権,,,,,,,,
582,950101032,1,ある,村,,,INTRA_Z,NONE,NONE,*T*,,タイ北部パヤオ県,*T*,,タイ北部パヤオ県,,,,,,県,,,DIRECT
583,950101032,1,小さ,村,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
584,950101032,1,村,ある,タイ北部パヤオ県,,DIRECT,INTRA_Z,NONE,,,,,,,,,,,,,,,
585,950101032,2,望む,村,,山並み,INTRA_Z,NONE,DIRECT,*T*,山並み,,*T*,山並み,,*T*,山並み,,,,,,,
586,950101032,2,過ごす,村,,一九九五年,DIRECT,NONE,INTRA_Z,村,日,酒盛り,村,日,酒盛り,村,日,酒盛り,村,,,DIRECT,,
587,950101032,3,違う,日付,,,DIRECT,NONE,NONE,日付,,満ち欠け,日付,,満ち欠け,日付,,満ち欠け,日付,,,DIRECT,,
588,950101032,4,重なっ,それ,,,INTRA_Z,NONE,NONE,,,西暦,,,西暦,,,西暦,それ,,西暦,DIRECT,,DIRECT
589,950101032,6,通し,衆,民族衣装,手,INTRA_Z,DIRECT,DIRECT,*PRO*,手,民族衣装,*PRO*,手,民族衣装,*PRO*,手,民族衣装,衆,,衣装,INTRA_Z,,DIRECT
590,950101032,6,ささげる,衆,霊,生けにえ,DIRECT,DIRECT,DIRECT,衆,生けにえ,霊,衆,生けにえ,霊,衆,生けにえ,霊,衆,,霊,DIRECT,,DIRECT
591,950101032,7,炊き,女衆,,お節料理,INTRA_Z,NONE,INTRA_Z,女衆,お節料理,,女衆,お節料理,,,,,,,,,,
592,950101032,7,飲む,男衆,,酒,DIRECT,NONE,DIRECT,男衆,酒,,男衆,酒,,男衆,酒,,男衆,,,DIRECT,,
593,950101032,8,切った,exog,,青竹,INTER_Z,NONE,DIRECT,,,,,,,,,,,,,,,
594,950101032,8,大き,おちょこ,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
595,950101032,8,おちょこ,切っ,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
596,950101032,8,つい,男衆,おちょこ,自家製泡盛,INTER_Z,INTRA_Z,INTRA_Z,*PRO*,自家製泡盛,,*PRO*,自家製泡盛,,,,,,,,,,
597,950101032,8,飲む,男衆,,自家製泡盛,INTER_Z,NONE,INTRA_Z,*pro*,,,*pro*,,,*pro*,自家製泡盛,,,,,,,
598,950101032,9,飲ま,男衆,,酒,INTER_Z,NONE,INTER_Z,*PRO*,,,*PRO*,,,*PRO*,,,,,豪快,,,DIRECT
599,950101032,9,ない,男衆,,,INTER_Z,NONE,NONE,,,,,,,,,,,,,,,
600,950101032,10,若い,わしら,,,INTRA_Z,NONE,NONE,*PRO*,,,*pro*,,,,,,ら,,,INTRA_Z,,
601,950101032,10,もどし,わしら,,,INTRA_Z,NONE,NONE,*PRO*,,,*PRO*,,,*PRO*,,,ら,,,INTRA_Z,,
602,950101032,10,勉強し,わしら,,,INTRA_Z,NONE,NONE,*PRO*,,,ころ,,,*pro*,,,ら,,,INTRA_Z,,
603,950101032,11,なっ,男たち,車座,,INTRA_Z,INTRA_Z,NONE,,,車座,*PRO*,,車座,*PRO*,,車座,,,,,,
604,950101032,11,重ねる,男たち,,杯,INTRA_Z,NONE,DIRECT,男たち,杯,,男たち,杯,,男たち,杯,,たち,,,DIRECT,,
605,950101032,12,飲み干す,男たち,,杯,INTER_Z,NONE,INTER_Z,*PRO*,*pro*,,*PRO*,,,*PRO*,,,,,,,,
606,950101032,12,移る,男たち,家,,INTER_Z,DIRECT,NONE,*pro*,,家,*pro*,,家,*pro*,,家,,,家,,,DIRECT
607,950101032,13,飲み干す,男たち,,杯,INTER_Z,NONE,INTER_Z,*PRO*,*pro*,,*pro*,,,*pro*,,,,,,,,
608,950101032,14,コマ回し,子供たち,,,INTRA_Z,NONE,NONE,,,,,,,,,,,,,,,
609,950101032,15,人だかり,exog,モチ,,INTER_Z,DIRECT,NONE,,,,,,,,,,,,つき,,,DIRECT
610,950101032,16,同じ,形,,,DIRECT,NONE,NONE,形,,日本,形,,日本,形,,日本,形,,日本,DIRECT,,DIRECT
611,950101032,17,使っ,ウサギ,,ヤツ,INTRA_Z,NONE,INTRA_Z,ウサギ,*T*,月,ウサギ,*T*,月,ウサギ,*T*,月,ウサギ,,,DIRECT,,
